Название,Цена,Площадь,Адрес
Апартаменты-студия,1 300 000_₽,10_5 м²,Москва__Амурская_улица__19
Комнатные_апартаменты,1 370 000_₽,12 м²,Москва__8-я_улица_Текстильщиков__13к2
Апартаменты-студия,1 430 000_₽,15_4 м²,Москва__8-я_улица_Текстильщиков__13к2
Апартаменты-студия,1 500 000_₽,19_3 м²,Москва__8-я_улица_Текстильщиков__15
Апартаменты-студия,1 750 000_₽,18_9 м²,Москва__8-я_улица_Текстильщиков__13к2
Апартаменты-студия,1 750 000_₽,18_9 м²,Москва__8-я_улица_Текстильщиков__13к2
Апартаменты-студия,1 770 000_₽,19_1 м²,Москва__8-я_улица_Текстильщиков__13к2
Апартаменты-студия,1 850 000_₽,23_7 м²,Москва__8-я_улица_Текстильщиков__13к2
1-комнатные_апартаменты,2 030 000_₽,25_9 м²,Москва__8-я_улица_Текстильщиков__13к2
1-комнатные_апартаменты,2 030 000_₽,22_7 м²,Москва__8-я_улица_Текстильщиков__13к2
1-комнатные_апартаменты,2 090 000_₽,25_9 м²,Москва__8-я_улица_Текстильщиков__13к2
Апартаменты-студия,2 200 000_₽,12_5 м²,Москва__улица_Чугунные_Ворота__7к1
Комнатные_апартаменты,2 200 000_₽,18 м²,Москва__Студенческая_улица__19к4
Комнатная_квартира,2 200 000_₽,17 м²,Москва__Воронцовская_улица__25с3
Артира-студия,2 300 000_₽,20 м²,Москва__Маломосковская_улица__2к1
Комнатные_апартаменты,2 550 000_₽,62 м²,Москва__улица_Академика_Бочвара__6
Комнатная_квартира,2 550 000_₽,17 м²,Москва__улица_Чугунные_Ворота__7к1
Артаменты-студия,2 600 000_₽,11 м²,Москва__Чуксин_тупик__4
Комнатные_апартаменты,2 600 000_₽,11 м²,Москва__Чуксин_тупик__4
Апартаменты-студия,2 622 000_₽,13_8 м²,Москва__Сиреневый_бульвар__15
Апартаменты-студия,2 667 100_₽,11_9 м²,Москва__Сиреневый_бульвар__15
Апартаменты-студия,2 680 000_₽,11_7 м²,Москва__Сиреневый_бульвар__15
Апартаменты-студия,2 700 660_₽,13_8 м²,Москва__3-я_Парковая_улица__40
Артира-студия,2 750 000_₽,14 м²,Москва__Стрельбищенский_переулок__22А
Артаменты-студия,2 767 000_₽,13 м²,Москва__Сиреневый_бульвар__15
Апартаменты-студия,2 800 000_₽,12_2 м²,Москва__Чуксин_тупик__4
1-комнатные_апартаменты,2 800 000_₽,31_1 м²,Москва__Ленинградский_проспект__24
1-комнатные_апартаменты,2 800 000_₽,12_2 м²,Москва__Чуксин_тупик__4
Апартаменты-студия,2 850 000_₽,12_5 м²,Москва__Чуксин_тупик__4
1-комнатные_апартаменты,2 850 000_₽,12_5 м²,Москва__Чуксин_тупик__4
Артаменты-студия,2 860 000_₽,13 м²,Москва__Вильнюсская_улица__15
Артира-студия,2 860 000_₽,13 м²,Москва__Вильнюсская_улица__15
Комнатная_квартира,2 900 000_₽,18 м²,Москва__улица_Маршала_Рыбалко__13
Комнатная_квартира,2 900 000_₽,13 м²,Москва__Домодедовская_улица__1к1
-комнатные_апартаменты,2 950 000_₽,8_3 м²,Москва__Ключевая_улица__10к2
1-комнатные_апартаменты,2 979 010_₽,11_7 м²,Москва__Сиреневый_бульвар__15
Артаменты-студия,2 990 000_₽,14 м²,Москва__Чуксин_тупик__4
Комнатные_апартаменты,3 000 000_₽,18 м²,Москва__Варшавское_шоссе__125
Артаменты-студия,3 000 000_₽,25 м²,Москва__улица_Космонавта_Волкова__15к2
Апартаменты-студия,3 090 000_₽,11_8 м²,Москва__шоссе_Фрезер__17Ас1
Артаменты-студия,3 100 000_₽,17 м²,Москва__Варшавское_шоссе__125с1
Апартаменты-студия,3 102 000_₽,14_1 м²,Москва__Вильнюсская_улица__15
Апартаменты-студия,3 200 000_₽,12_1 м²,Москва__Сколковское_шоссе__32с3
Квартира-студия,3 230 000_₽,15_1 м²,Москва__улица_Коминтерна__14к2
Апартаменты-студия,3 243 000_₽,13_8 м²,Москва__Стартовая_улица__11
Апартаменты-студия,3 290 000_₽,11_8 м²,Москва__шоссе_Фрезер__17Ас1
Апартаменты-студия,3 290 000_₽,10_4 м²,Москва__шоссе_Фрезер__17Ас1
Апартаменты-студия,3 290 000_₽,10_4 м²,Москва__шоссе_Фрезер__17Ас1
Апартаменты-студия,3 290 000_₽,11_8 м²,Москва__шоссе_Фрезер__17Ас1
Апартаменты-студия,3 290 000_₽,10_4 м²,Москва__шоссе_Фрезер__17Ас1
Апартаменты-студия,3 290 000_₽,11_8 м²,Москва__шоссе_Фрезер__17Ас1
